umol/g,,Alanine,Glycine,Taurine,Phenylalanine,Glutamate,Serine,Valine,Threonine,Isoleucine,Asparagine,Aspartic acid,proline,Tyrosine,Citrulline,methionine sulfoxide,arginine,lysine,histidine,tryptophan,glutamine
190909X_YZ_S42,W6_KO_veh+CTL_A2,3.32,2.22,0.00,1.13,3.70,1.56,3.49,2.21,3.40,0.17,0.69,1.23,1.81,0.62,0.56,0.65,4.30,0.08,0.16,0.21
190909X_YZ_S43,W6_KO_veh+CTL_A3,2.62,2.35,9.81,0.86,4.60,1.16,2.75,1.47,2.30,0.33,0.96,1.13,1.30,0.29,0.32,0.85,4.32,0.39,0.32,0.21
190909X_YZ_S44,W6_KO_veh+CTL_A4,2.83,1.68,0.00,0.61,4.42,0.61,2.07,0.71,1.64,0.00,0.34,1.13,0.67,0.82,0.16,0.01,3.29,0.00,0.01,0.01
190909X_YZ_S45,W6_KO_veh+CTL_A5,3.90,2.47,0.00,0.87,6.62,0.93,2.63,1.39,2.82,0.00,0.71,1.68,1.11,1.45,0.15,0.01,5.43,0.00,0.03,0.02
190909X_YZ_S46,W6_KO_DSS+PIC_B1,2.63,2.13,0.78,0.99,4.58,1.41,3.09,1.87,2.43,0.79,1.26,0.96,0.96,0.43,0.51,0.75,3.53,0.27,0.28,0.07
190909X_YZ_S47,W6_KO_DSS+PIC_B2,2.12,1.79,12.07,0.44,5.96,1.33,2.09,1.48,1.84,0.32,1.39,1.28,0.82,0.33,0.35,0.85,3.35,0.16,0.18,0.11
190909X_YZ_S48,W6_KO_DSS+PIC_B3,3.57,2.19,0.00,0.80,7.56,0.94,2.38,1.18,2.48,0.00,0.85,1.46,1.13,0.80,0.19,0.76,3.82,0.00,0.04,0.03
190909X_YZ_S49,W6_KO_DSS+PIC_B4,4.47,2.85,0.01,1.14,9.47,1.47,3.76,2.26,3.45,0.11,1.86,1.45,1.88,0.61,0.55,2.24,4.91,0.53,0.40,0.26
190909X_YZ_S50,W6_KO_DSS+PIC_B5,3.21,2.29,0.00,0.88,6.35,1.43,2.74,1.85,2.48,0.18,1.30,1.10,1.16,0.49,0.46,1.10,3.92,0.12,0.14,0.06
190909X_YZ_S51,W6_KO_DSS+CRA_C1,5.26,4.50,0.00,2.09,10.55,2.86,5.20,3.64,7.29,0.66,3.12,1.49,4.41,0.41,0.79,6.18,10.64,0.66,0.52,0.52
190909X_YZ_S52,W6_KO_DSS+CRA_C2,6.70,5.84,0.00,2.45,11.89,3.09,6.33,4.72,9.04,0.36,3.41,1.79,7.41,1.29,0.92,6.77,11.75,0.84,0.70,1.12
190909X_YZ_S53,W6_KO_DSS+CRA_C3,4.35,2.93,0.00,1.49,6.37,1.87,4.04,2.83,4.30,0.01,1.98,1.39,2.68,0.66,0.73,3.70,8.34,0.29,0.24,0.32
190909X_YZ_S54,W6_KO_DSS+CRA_C4,3.13,2.03,7.40,1.18,4.12,1.69,2.81,2.21,3.15,0.76,1.34,0.57,2.08,0.28,0.45,3.25,7.19,0.30,0.27,0.27
190909X_YZ_S55,W6_KO_DSS+CRA_C5,4.08,3.11,0.00,1.41,7.07,1.51,3.67,2.34,3.68,0.06,2.20,1.30,2.29,0.61,0.62,3.52,7.22,0.25,0.21,0.10
190909X_YZ_S56,W6_KO_DSS+CTL_D1,2.62,1.58,0.00,0.77,4.01,0.83,2.16,1.36,2.18,0.01,0.82,0.79,0.82,0.47,0.30,0.53,3.25,0.00,0.05,0.02
190909X_YZ_S57,W6_KO_DSS+CTL_D2,2.74,1.72,0.00,0.56,5.44,0.64,1.67,0.78,1.27,0.00,0.50,1.02,0.55,0.67,0.12,0.02,3.02,0.00,0.01,0.01
190909X_YZ_S58,W6_KO_DSS+CTL_D3,2.16,1.12,0.00,0.45,3.07,0.80,1.50,0.95,1.17,0.00,0.50,0.68,0.28,0.11,0.14,0.36,2.01,0.01,0.03,0.01
190909X_YZ_S59,W6_KO_DSS+CTL_D4,1.98,0.75,0.00,0.27,2.17,0.33,0.93,0.48,0.64,0.00,0.16,0.64,0.10,0.23,0.02,0.01,1.48,0.00,0.00,0.00
190909X_YZ_S60,W6_KO_DSS+CTL_D5,2.92,1.82,0.00,0.56,5.60,0.86,1.44,1.01,1.17,0.00,0.56,0.94,0.50,0.61,0.10,0.00,2.65,0.00,0.01,0.01
